molecule_number,Mol num,smiles,"pka (h2O/dioxane, 70C)",pKa (fitted),"pKaH (fitted, 70C)","pKaH (NMR, 25C)",pH,log(k_obs),T (celcius),Solvents,Ratio of solvents,Percent zwitterion at pH 5.0-5.5,Concentration (mol/L),Notes
61,12,Cc1noc(C)c1B(O)O,10.45,,0.04,0.05,5.63,-6.14,70,"water, dioxane",50/50,5%,0.05,
61,12,Cc1noc(C)c1B(O)O,10.45,,0.04,0.05,6.38,-6.03,70,"water, dioxane",50/50,5%,0.05,
61,12,Cc1noc(C)c1B(O)O,10.45,,0.04,0.05,6.99,-5.86,70,"water, dioxane",50/50,5%,0.05,
61,12,Cc1noc(C)c1B(O)O,10.45,,0.04,0.05,7.47,-5.6,70,"water, dioxane",50/50,5%,0.05,
61,12,Cc1noc(C)c1B(O)O,10.45,,0.04,0.05,8.12,-5.53,70,"water, dioxane",50/50,5%,0.05,
61,12,Cc1noc(C)c1B(O)O,10.45,,0.04,0.05,8.53,-5.24,70,"water, dioxane",50/50,5%,0.05,
61,12,Cc1noc(C)c1B(O)O,10.45,,0.04,0.05,9.06,-4.75,70,"water, dioxane",50/50,5%,0.05,
61,12,Cc1noc(C)c1B(O)O,10.45,,0.04,0.05,9.54,-4.35,70,"water, dioxane",50/50,5%,0.05,
61,12,Cc1noc(C)c1B(O)O,10.45,,0.04,0.05,10.01,-3.95,70,"water, dioxane",50/50,5%,0.05,
61,12,Cc1noc(C)c1B(O)O,10.45,,0.04,0.05,10.52,-3.81,70,"water, dioxane",50/50,5%,0.05,
61,12,Cc1noc(C)c1B(O)O,10.45,,0.04,0.05,11.09,-3.77,70,"water, dioxane",50/50,5%,0.05,
61,12,Cc1noc(C)c1B(O)O,10.45,,0.04,0.05,11.66,-3.85,70,"water, dioxane",50/50,5%,0.05,
61,12,Cc1noc(C)c1B(O)O,10.45,,0.04,0.05,12.04,-3.9,70,"water, dioxane",50/50,5%,0.05,
61,12,Cc1noc(C)c1B(O)O,10.45,,0.04,0.05,12.59,-3.62,70,"water, dioxane",50/50,5%,0.05,
61,12,Cc1noc(C)c1B(O)O,10.45,,0.04,0.05,13,-3.5,70,"water, dioxane",50/50,5%,0.05,
61,12,Cc1noc(C)c1B(O)O,10.45,,0.04,0.05,13.36,-3.22,70,"water, dioxane",50/50,5%,0.05,
62,13,OB(O)c1cncnc1,8.18,,0.14,0.6,0.65,-5.44,70,"water, dioxane",50/50,5%,0.05,
62,13,OB(O)c1cncnc1,8.18,,0.14,0.6,0.91,-5.39,70,"water, dioxane",50/50,5%,0.05,
62,13,OB(O)c1cncnc1,8.18,,0.14,0.6,1.16,-5.35,70,"water, dioxane",50/50,5%,0.05,
62,13,OB(O)c1cncnc1,8.18,,0.14,0.6,1.57,-5.35,70,"water, dioxane",50/50,5%,0.05,
62,13,OB(O)c1cncnc1,8.18,,0.14,0.6,2,-5.37,70,"water, dioxane",50/50,5%,0.05,
62,13,OB(O)c1cncnc1,8.18,,0.14,0.6,2.4,-5.46,70,"water, dioxane",50/50,5%,0.05,
62,13,OB(O)c1cncnc1,8.18,,0.14,0.6,2.87,-5.54,70,"water, dioxane",50/50,5%,0.05,
62,13,OB(O)c1cncnc1,8.18,,0.14,0.6,3.3,-5.49,70,"water, dioxane",50/50,5%,0.05,
62,13,OB(O)c1cncnc1,8.18,,0.14,0.6,3.75,-5.51,70,"water, dioxane",50/50,5%,0.05,
62,13,OB(O)c1cncnc1,8.18,,0.14,0.6,4.16,-5.47,70,"water, dioxane",50/50,5%,0.05,
62,13,OB(O)c1cncnc1,8.18,,0.14,0.6,4.32,-5.48,70,"water, dioxane",50/50,5%,0.05,
62,13,OB(O)c1cncnc1,8.18,,0.14,0.6,4.6,-5.54,70,"water, dioxane",50/50,5%,0.05,
62,13,OB(O)c1cncnc1,8.18,,0.14,0.6,4.75,-5.46,70,"water, dioxane",50/50,5%,0.05,
62,13,OB(O)c1cncnc1,8.18,,0.14,0.6,5.25,-5.48,70,"water, dioxane",50/50,5%,0.05,
62,13,OB(O)c1cncnc1,8.18,,0.14,0.6,5.33,-5.41,70,"water, dioxane",50/50,5%,0.05,
62,13,OB(O)c1cncnc1,8.18,,0.14,0.6,5.71,-5.47,70,"water, dioxane",50/50,5%,0.05,
62,13,OB(O)c1cncnc1,8.18,,0.14,0.6,6.25,-5.43,70,"water, dioxane",50/50,5%,0.05,
62,13,OB(O)c1cncnc1,8.18,,0.14,0.6,6.71,-5.35,70,"water, dioxane",50/50,5%,0.05,
62,13,OB(O)c1cncnc1,8.18,,0.14,0.6,7.19,-5.29,70,"water, dioxane",50/50,5%,0.05,
62,13,OB(O)c1cncnc1,8.18,,0.14,0.6,7.72,-4.99,70,"water, dioxane",50/50,5%,0.05,
62,13,OB(O)c1cncnc1,8.18,,0.14,0.6,8.24,-5.01,70,"water, dioxane",50/50,5%,0.05,
62,13,OB(O)c1cncnc1,8.18,,0.14,0.6,8.75,-4.95,70,"water, dioxane",50/50,5%,0.05,
62,13,OB(O)c1cncnc1,8.18,,0.14,0.6,9.24,-4.99,70,"water, dioxane",50/50,5%,0.05,
62,13,OB(O)c1cncnc1,8.18,,0.14,0.6,9.89,-5.03,70,"water, dioxane",50/50,5%,0.05,
62,13,OB(O)c1cncnc1,8.18,,0.14,0.6,10.44,-5.04,70,"water, dioxane",50/50,5%,0.05,
62,13,OB(O)c1cncnc1,8.18,,0.14,0.6,11.22,-5.06,70,"water, dioxane",50/50,5%,0.05,
62,13,OB(O)c1cncnc1,8.18,,0.14,0.6,11.86,-5.03,70,"water, dioxane",50/50,5%,0.05,
62,13,OB(O)c1cncnc1,8.18,,0.14,0.6,12.24,-5.05,70,"water, dioxane",50/50,5%,0.05,
63,14,OB(O)c1cccnc1,9.76,,3.6,4.22,0.97,-7.89,70,"water, dioxane",50/50,5%,0.05,
63,14,OB(O)c1cccnc1,9.76,,3.6,4.22,1.23,-7.26,70,"water, dioxane",50/50,5%,0.05,
63,14,OB(O)c1cccnc1,9.76,,3.6,4.22,1.72,-7.95,70,"water, dioxane",50/50,5%,0.05,
63,14,OB(O)c1cccnc1,9.76,,3.6,4.22,2.19,-6.75,70,"water, dioxane",50/50,5%,0.05,
63,14,OB(O)c1cccnc1,9.76,,3.6,4.22,2.75,-6.75,70,"water, dioxane",50/50,5%,0.05,
63,14,OB(O)c1cccnc1,9.76,,3.6,4.22,3.3,-6.28,70,"water, dioxane",50/50,5%,0.05,
63,14,OB(O)c1cccnc1,9.76,,3.6,4.22,3.79,-6.03,70,"water, dioxane",50/50,5%,0.05,
63,14,OB(O)c1cccnc1,9.76,,3.6,4.22,4.26,-5.87,70,"water, dioxane",50/50,5%,0.05,
63,14,OB(O)c1cccnc1,9.76,,3.6,4.22,4.75,-5.77,70,"water, dioxane",50/50,5%,0.05,
63,14,OB(O)c1cccnc1,9.76,,3.6,4.22,5.25,-5.77,70,"water, dioxane",50/50,5%,0.05,
63,14,OB(O)c1cccnc1,9.76,,3.6,4.22,5.76,-5.78,70,"water, dioxane",50/50,5%,0.05,
63,14,OB(O)c1cccnc1,9.76,,3.6,4.22,6.32,-5.78,70,"water, dioxane",50/50,5%,0.05,
63,14,OB(O)c1cccnc1,9.76,,3.6,4.22,6.37,-5.67,70,"water, dioxane",50/50,5%,0.05,
63,14,OB(O)c1cccnc1,9.76,,3.6,4.22,6.92,-5.66,70,"water, dioxane",50/50,5%,0.05,
63,14,OB(O)c1cccnc1,9.76,,3.6,4.22,7.42,-5.66,70,"water, dioxane",50/50,5%,0.05,
63,14,OB(O)c1cccnc1,9.76,,3.6,4.22,7.83,-5.46,70,"water, dioxane",50/50,5%,0.05,
63,14,OB(O)c1cccnc1,9.76,,3.6,4.22,8.28,-5.54,70,"water, dioxane",50/50,5%,0.05,
63,14,OB(O)c1cccnc1,9.76,,3.6,4.22,8.72,-5.48,70,"water, dioxane",50/50,5%,0.05,
63,14,OB(O)c1cccnc1,9.76,,3.6,4.22,9.2,-5.45,70,"water, dioxane",50/50,5%,0.05,
63,14,OB(O)c1cccnc1,9.76,,3.6,4.22,9.69,-5.41,70,"water, dioxane",50/50,5%,0.05,
63,14,OB(O)c1cccnc1,9.76,,3.6,4.22,10.17,-5.52,70,"water, dioxane",50/50,5%,0.05,
63,14,OB(O)c1cccnc1,9.76,,3.6,4.22,10.57,-5.61,70,"water, dioxane",50/50,5%,0.05,
63,14,OB(O)c1cccnc1,9.76,,3.6,4.22,11,-5.78,70,"water, dioxane",50/50,5%,0.05,
63,14,OB(O)c1cccnc1,9.76,,3.6,4.22,11.39,-5.64,70,"water, dioxane",50/50,5%,0.05,
63,14,OB(O)c1cccnc1,9.76,,3.6,4.22,11.84,-5.87,70,"water, dioxane",50/50,5%,0.05,
63,14,OB(O)c1cccnc1,9.76,,3.6,4.22,12.26,-6.27,70,"water, dioxane",50/50,5%,0.05,
63,14,OB(O)c1cccnc1,9.76,,3.6,4.22,12.62,-6.19,70,"water, dioxane",50/50,5%,0.05,
63,14,OB(O)c1cccnc1,9.76,,3.6,4.22,13.03,-5.99,70,"water, dioxane",50/50,5%,0.05,
64,15,OB(O)c1ccncc1,8.94,,3.36,3.82,1.03,-5.9,70,"water, dioxane",50/50,5%,0.05,
64,15,OB(O)c1ccncc1,8.94,,3.36,3.82,1.55,-5.81,70,"water, dioxane",50/50,5%,0.05,
64,15,OB(O)c1ccncc1,8.94,,3.36,3.82,1.97,-5.68,70,"water, dioxane",50/50,5%,0.05,
64,15,OB(O)c1ccncc1,8.94,,3.36,3.82,2.53,-5.87,70,"water, dioxane",50/50,5%,0.05,
64,15,OB(O)c1ccncc1,8.94,,3.36,3.82,3.22,-5.66,70,"water, dioxane",50/50,5%,0.05,
64,15,OB(O)c1ccncc1,8.94,,3.36,3.82,3.72,-5.73,70,"water, dioxane",50/50,5%,0.05,
64,15,OB(O)c1ccncc1,8.94,,3.36,3.82,4.21,-5.55,70,"water, dioxane",50/50,5%,0.05,
64,15,OB(O)c1ccncc1,8.94,,3.36,3.82,4.71,-5.64,70,"water, dioxane",50/50,5%,0.05,
64,15,OB(O)c1ccncc1,8.94,,3.36,3.82,5.17,-5.76,70,"water, dioxane",50/50,5%,0.05,
64,15,OB(O)c1ccncc1,8.94,,3.36,3.82,5.68,-5.79,70,"water, dioxane",50/50,5%,0.05,
64,15,OB(O)c1ccncc1,8.94,,3.36,3.82,6.28,-5.79,70,"water, dioxane",50/50,5%,0.05,
64,15,OB(O)c1ccncc1,8.94,,3.36,3.82,6.55,-5.69,70,"water, dioxane",50/50,5%,0.05,
64,15,OB(O)c1ccncc1,8.94,,3.36,3.82,7.1,-5.71,70,"water, dioxane",50/50,5%,0.05,
64,15,OB(O)c1ccncc1,8.94,,3.36,3.82,7.57,-5.65,70,"water, dioxane",50/50,5%,0.05,
64,15,OB(O)c1ccncc1,8.94,,3.36,3.82,7.99,-5.47,70,"water, dioxane",50/50,5%,0.05,
64,15,OB(O)c1ccncc1,8.94,,3.36,3.82,8.45,-5.65,70,"water, dioxane",50/50,5%,0.05,
64,15,OB(O)c1ccncc1,8.94,,3.36,3.82,8.89,-5.53,70,"water, dioxane",50/50,5%,0.05,
64,15,OB(O)c1ccncc1,8.94,,3.36,3.82,9.42,-5.47,70,"water, dioxane",50/50,5%,0.05,
64,15,OB(O)c1ccncc1,8.94,,3.36,3.82,9.9,-5.6,70,"water, dioxane",50/50,5%,0.05,
64,15,OB(O)c1ccncc1,8.94,,3.36,3.82,10.36,-5.69,70,"water, dioxane",50/50,5%,0.05,
64,15,OB(O)c1ccncc1,8.94,,3.36,3.82,10.81,-5.88,70,"water, dioxane",50/50,5%,0.05,
64,15,OB(O)c1ccncc1,8.94,,3.36,3.82,11.46,-5.91,70,"water, dioxane",50/50,5%,0.05,
64,15,OB(O)c1ccncc1,8.94,,3.36,3.82,12.32,-6.03,70,"water, dioxane",50/50,5%,0.05,
64,15,OB(O)c1ccncc1,8.94,,3.36,3.82,12.32,-6.03,70,"water, dioxane",50/50,5%,0.05,
65,16,OB(O)c1ccnc2CN=Cc12,9.9,,2.95,3.41,0.84,-7.14,70,"water, dioxane",50/50,5%,0.05,
65,16,OB(O)c1ccnc2CN=Cc12,9.9,,2.95,3.41,1.36,-7.02,70,"water, dioxane",50/50,5%,0.05,
65,16,OB(O)c1ccnc2CN=Cc12,9.9,,2.95,3.41,1.88,-7.13,70,"water, dioxane",50/50,5%,0.05,
65,16,OB(O)c1ccnc2CN=Cc12,9.9,,2.95,3.41,2.44,-7.06,70,"water, dioxane",50/50,5%,0.05,
65,16,OB(O)c1ccnc2CN=Cc12,9.9,,2.95,3.41,2.9,-6.98,70,"water, dioxane",50/50,5%,0.05,
65,16,OB(O)c1ccnc2CN=Cc12,9.9,,2.95,3.41,3.45,-7.01,70,"water, dioxane",50/50,5%,0.05,
65,16,OB(O)c1ccnc2CN=Cc12,9.9,,2.95,3.41,3.96,-6.91,70,"water, dioxane",50/50,5%,0.05,
65,16,OB(O)c1ccnc2CN=Cc12,9.9,,2.95,3.41,4.45,-6.97,70,"water, dioxane",50/50,5%,0.05,
65,16,OB(O)c1ccnc2CN=Cc12,9.9,,2.95,3.41,4.95,-6.9,70,"water, dioxane",50/50,5%,0.05,
65,16,OB(O)c1ccnc2CN=Cc12,9.9,,2.95,3.41,5.45,-6.93,70,"water, dioxane",50/50,5%,0.05,
65,16,OB(O)c1ccnc2CN=Cc12,9.9,,2.95,3.41,5.96,-6.92,70,"water, dioxane",50/50,5%,0.05,
65,16,OB(O)c1ccnc2CN=Cc12,9.9,,2.95,3.41,6.12,-6.84,70,"water, dioxane",50/50,5%,0.05,
65,16,OB(O)c1ccnc2CN=Cc12,9.9,,2.95,3.41,6.71,-6.85,70,"water, dioxane",50/50,5%,0.05,
65,16,OB(O)c1ccnc2CN=Cc12,9.9,,2.95,3.41,7.25,-6.86,70,"water, dioxane",50/50,5%,0.05,
65,16,OB(O)c1ccnc2CN=Cc12,9.9,,2.95,3.41,7.76,-6.8,70,"water, dioxane",50/50,5%,0.05,
65,16,OB(O)c1ccnc2CN=Cc12,9.9,,2.95,3.41,8.24,-6.55,70,"water, dioxane",50/50,5%,0.05,
65,16,OB(O)c1ccnc2CN=Cc12,9.9,,2.95,3.41,8.74,-6.43,70,"water, dioxane",50/50,5%,0.05,
65,16,OB(O)c1ccnc2CN=Cc12,9.9,,2.95,3.41,9.27,-5.88,70,"water, dioxane",50/50,5%,0.05,
65,16,OB(O)c1ccnc2CN=Cc12,9.9,,2.95,3.41,10.22,-5.82,70,"water, dioxane",50/50,5%,0.05,
65,16,OB(O)c1ccnc2CN=Cc12,9.9,,2.95,3.41,10.78,-5.87,70,"water, dioxane",50/50,5%,0.05,
65,16,OB(O)c1ccnc2CN=Cc12,9.9,,2.95,3.41,11.29,-6.16,70,"water, dioxane",50/50,5%,0.05,
65,16,OB(O)c1ccnc2CN=Cc12,9.9,,2.95,3.41,11.81,-6.21,70,"water, dioxane",50/50,5%,0.05,
65,16,OB(O)c1ccnc2CN=Cc12,9.9,,2.95,3.41,12.28,-6.16,70,"water, dioxane",50/50,5%,0.05,
65,16,OB(O)c1ccnc2CN=Cc12,9.9,,2.95,3.41,12.78,-6.26,70,"water, dioxane",50/50,5%,0.05,
65,16,OB(O)c1ccnc2CN=Cc12,9.9,,2.95,3.41,13.34,-6.26,70,"water, dioxane",50/50,5%,0.05,
66,17,OB(O)c1cncs1,8.41,,1.62,1.85,0.85,-2.67,70,"water, dioxane",50/50,5%,0.05,
66,17,OB(O)c1cncs1,8.41,,1.62,1.85,2.59,-1.85,70,"water, dioxane",50/50,5%,0.05,
66,17,OB(O)c1cncs1,8.41,,1.62,1.85,3.01,-1.81,70,"water, dioxane",50/50,5%,0.05,
66,17,OB(O)c1cncs1,8.41,,1.62,1.85,5.2,-1.86,70,"water, dioxane",50/50,5%,0.05,
66,17,OB(O)c1cncs1,8.41,,1.62,1.85,6.23,-1.85,70,"water, dioxane",50/50,5%,0.05,
66,17,OB(O)c1cncs1,8.41,,1.62,1.85,8.48,-1.92,70,"water, dioxane",50/50,5%,0.05,
66,17,OB(O)c1cncs1,8.41,,1.62,1.85,9.79,-2,70,"water, dioxane",50/50,5%,0.05,
66,17,OB(O)c1cncs1,8.41,,1.62,1.85,11.44,-2.03,70,"water, dioxane",50/50,5%,0.05,
66,17,OB(O)c1cncs1,8.41,,1.62,1.85,13.09,-2,70,"water, dioxane",50/50,5%,0.05,
67,18,Cn1nccc1B(O)O,8.82,,1.08,1.62,0.61,-4.34,70,"water, dioxane",50/50,10%,0.05,
67,18,Cn1nccc1B(O)O,8.82,,1.08,1.62,0.93,-4.2,70,"water, dioxane",50/50,10%,0.05,
67,18,Cn1nccc1B(O)O,8.82,,1.08,1.62,1.41,-3.99,70,"water, dioxane",50/50,10%,0.05,
67,18,Cn1nccc1B(O)O,8.82,,1.08,1.62,2.02,-3.81,70,"water, dioxane",50/50,10%,0.05,
67,18,Cn1nccc1B(O)O,8.82,,1.08,1.62,2.73,-3.76,70,"water, dioxane",50/50,10%,0.05,
67,18,Cn1nccc1B(O)O,8.82,,1.08,1.62,3.44,-3.76,70,"water, dioxane",50/50,10%,0.05,
67,18,Cn1nccc1B(O)O,8.82,,1.08,1.62,4.36,-3.77,70,"water, dioxane",50/50,10%,0.05,
67,18,Cn1nccc1B(O)O,8.82,,1.08,1.62,5.3,-3.77,70,"water, dioxane",50/50,10%,0.05,
67,18,Cn1nccc1B(O)O,8.82,,1.08,1.62,6.02,-3.79,70,"water, dioxane",50/50,10%,0.05,
67,18,Cn1nccc1B(O)O,8.82,,1.08,1.62,6.71,-3.8,70,"water, dioxane",50/50,10%,0.05,
67,18,Cn1nccc1B(O)O,8.82,,1.08,1.62,6.73,-3.8,70,"water, dioxane",50/50,10%,0.05,
67,18,Cn1nccc1B(O)O,8.82,,1.08,1.62,7.17,-3.79,70,"water, dioxane",50/50,10%,0.05,
67,18,Cn1nccc1B(O)O,8.82,,1.08,1.62,7.76,-3.8,70,"water, dioxane",50/50,10%,0.05,
67,18,Cn1nccc1B(O)O,8.82,,1.08,1.62,8.27,-3.8,70,"water, dioxane",50/50,10%,0.05,
67,18,Cn1nccc1B(O)O,8.82,,1.08,1.62,8.83,-3.8,70,"water, dioxane",50/50,10%,0.05, 
67,18,Cn1nccc1B(O)O,8.82,,1.08,1.62,9.54,-3.84,70,"water, dioxane",50/50,10%,0.05, 
67,18,Cn1nccc1B(O)O,8.82,,1.08,1.62,10.09,-3.85,70,"water, dioxane",50/50,10%,0.05, 
67,18,Cn1nccc1B(O)O,8.82,,1.08,1.62,10.6,-3.86,70,"water, dioxane",50/50,10%,0.05, 
67,18,Cn1nccc1B(O)O,8.82,,1.08,1.62,11.41,-3.88,70,"water, dioxane",50/50,10%,0.05,
67,18,Cn1nccc1B(O)O,8.82,,1.08,1.62,11.96,-3.88,70,"water, dioxane",50/50,10%,0.05,
67,18,Cn1nccc1B(O)O,8.82,,1.08,1.62,12.49,-3.87,70,"water, dioxane",50/50,10%,0.05,
68,19,OB(O)c1ccn[nH]1,9.11,,1.36,2,0.91,-4.77,70,"water, dioxane",50/50,10%,0.05,
68,19,OB(O)c1ccn[nH]1,9.11,,1.36,2,1.38,-4.53,70,"water, dioxane",50/50,10%,0.05,
68,19,OB(O)c1ccn[nH]1,9.11,,1.36,2,1.83,-4.38,70,"water, dioxane",50/50,10%,0.05,
68,19,OB(O)c1ccn[nH]1,9.11,,1.36,2,2.25,-4.32,70,"water, dioxane",50/50,10%,0.05,
68,19,OB(O)c1ccn[nH]1,9.11,,1.36,2,2.71,-4.3,70,"water, dioxane",50/50,10%,0.05,
68,19,OB(O)c1ccn[nH]1,9.11,,1.36,2,3.2,-4.28,70,"water, dioxane",50/50,10%,0.05,
68,19,OB(O)c1ccn[nH]1,9.11,,1.36,2,3.71,-4.29,70,"water, dioxane",50/50,10%,0.05,
68,19,OB(O)c1ccn[nH]1,9.11,,1.36,2,4.15,-4.27,70,"water, dioxane",50/50,10%,0.05,
68,19,OB(O)c1ccn[nH]1,9.11,,1.36,2,4.58,-4.28,70,"water, dioxane",50/50,10%,0.05,
68,19,OB(O)c1ccn[nH]1,9.11,,1.36,2,4.64,-4.27,70,"water, dioxane",50/50,10%,0.05,
68,19,OB(O)c1ccn[nH]1,9.11,,1.36,2,5.01,-4.28,70,"water, dioxane",50/50,10%,0.05,
68,19,OB(O)c1ccn[nH]1,9.11,,1.36,2,5.05,-4.28,70,"water, dioxane",50/50,10%,0.05,
68,19,OB(O)c1ccn[nH]1,9.11,,1.36,2,5.56,-4.29,70,"water, dioxane",50/50,10%,0.05,
68,19,OB(O)c1ccn[nH]1,9.11,,1.36,2,6.07,-4.27,70,"water, dioxane",50/50,10%,0.05,
68,19,OB(O)c1ccn[nH]1,9.11,,1.36,2,6.66,-4.29,70,"water, dioxane",50/50,10%,0.05,
68,19,OB(O)c1ccn[nH]1,9.11,,1.36,2,7.04,-4.26,70,"water, dioxane",50/50,10%,0.05,
68,19,OB(O)c1ccn[nH]1,9.11,,1.36,2,7.55,-4.29,70,"water, dioxane",50/50,10%,0.05,
68,19,OB(O)c1ccn[nH]1,9.11,,1.36,2,7.97,-4.29,70,"water, dioxane",50/50,10%,0.05,
68,19,OB(O)c1ccn[nH]1,9.11,,1.36,2,8.57,-4.24,70,"water, dioxane",50/50,10%,0.05,
68,19,OB(O)c1ccn[nH]1,9.11,,1.36,2,9.02,-4.26,70,"water, dioxane",50/50,10%,0.05,
68,19,OB(O)c1ccn[nH]1,9.11,,1.36,2,9.63,-4.29,70,"water, dioxane",50/50,10%,0.05,
68,19,OB(O)c1ccn[nH]1,9.11,,1.36,2,10.28,-4.35,70,"water, dioxane",50/50,10%,0.05,
68,19,OB(O)c1ccn[nH]1,9.11,,1.36,2,10.7,-4.35,70,"water, dioxane",50/50,10%,0.05,
68,19,OB(O)c1ccn[nH]1,9.11,,1.36,2,11.28,-4.37,70,"water, dioxane",50/50,10%,0.05,
68,19,OB(O)c1ccn[nH]1,9.11,,1.36,2,11.78,-4.37,70,"water, dioxane",50/50,10%,0.05,
69,20,COc1cccc(B(O)O)n1,9.54,,3.16,3.6,1.31,-4.2,70,"water, dioxane",50/50,30%,0.05,
69,20,COc1cccc(B(O)O)n1,9.54,,3.16,3.6,1.71,-3.79,70,"water, dioxane",50/50,30%,0.05,
69,20,COc1cccc(B(O)O)n1,9.54,,3.16,3.6,2.32,-3.36,70,"water, dioxane",50/50,30%,0.05,
69,20,COc1cccc(B(O)O)n1,9.54,,3.16,3.6,2.8,-3.02,70,"water, dioxane",50/50,30%,0.05,
69,20,COc1cccc(B(O)O)n1,9.54,,3.16,3.6,3,-2.85,70,"water, dioxane",50/50,30%,0.05,
69,20,COc1cccc(B(O)O)n1,9.54,,3.16,3.6,3.3,-2.77,70,"water, dioxane",50/50,30%,0.05,
69,20,COc1cccc(B(O)O)n1,9.54,,3.16,3.6,5.53,-2.41,70,"water, dioxane",50/50,30%,0.05,
69,20,COc1cccc(B(O)O)n1,9.54,,3.16,3.6,6.86,-2.42,70,"water, dioxane",50/50,30%,0.05,
69,20,COc1cccc(B(O)O)n1,9.54,,3.16,3.6,8.76,-2.47,70,"water, dioxane",50/50,30%,0.05,
69,20,COc1cccc(B(O)O)n1,9.54,,3.16,3.6,10,-2.96,70,"water, dioxane",50/50,30%,0.05,
69,20,COc1cccc(B(O)O)n1,9.54,,3.16,3.6,10.53,-3.62,70,"water, dioxane",50/50,30%,0.05,
69,20,COc1cccc(B(O)O)n1,9.54,,3.16,3.6,10.97,-4.04,70,"water, dioxane",50/50,30%,0.05,
69,20,COc1cccc(B(O)O)n1,9.54,,3.16,3.6,11.5,-4.35,70,"water, dioxane",50/50,30%,0.05,
69,20,COc1cccc(B(O)O)n1,9.54,,3.16,3.6,11.98,-4.75,70,"water, dioxane",50/50,30%,0.05,
69,20,COc1cccc(B(O)O)n1,9.54,,3.16,3.6,12.5,-5.26,70,"water, dioxane",50/50,30%,0.05,
69,20,COc1cccc(B(O)O)n1,9.54,,3.16,3.6,12.96,-5.72,70,"water, dioxane",50/50,30%,0.05,
69,20,COc1cccc(B(O)O)n1,9.54,,3.16,3.6,13.14,-6.11,70,"water, dioxane",50/50,30%,0.05,
70,21,OB(O)c1cccc(C(F)(F)F)n1,8.49,,-1.06,-0.6,1.19,-2.73,70,"water, dioxane",50/50,10%,0.05,
70,21,OB(O)c1cccc(C(F)(F)F)n1,8.49,,-1.06,-0.6,2.36,-2.73,70,"water, dioxane",50/50,10%,0.05,
70,21,OB(O)c1cccc(C(F)(F)F)n1,8.49,,-1.06,-0.6,3.72,-2.75,70,"water, dioxane",50/50,10%,0.05,
70,21,OB(O)c1cccc(C(F)(F)F)n1,8.49,,-1.06,-0.6,5.25,-2.76,70,"water, dioxane",50/50,10%,0.05,
70,21,OB(O)c1cccc(C(F)(F)F)n1,8.49,,-1.06,-0.6,6.28,-2.76,70,"water, dioxane",50/50,10%,0.05,
70,21,OB(O)c1cccc(C(F)(F)F)n1,8.49,,-1.06,-0.6,6.3,-2.74,70,"water, dioxane",50/50,10%,0.05,
70,21,OB(O)c1cccc(C(F)(F)F)n1,8.49,,-1.06,-0.6,8.51,-3.07,70,"water, dioxane",50/50,10%,0.05,
70,21,OB(O)c1cccc(C(F)(F)F)n1,8.49,,-1.06,-0.6,9.65,-3.95,70,"water, dioxane",50/50,10%,0.05,
70,21,OB(O)c1cccc(C(F)(F)F)n1,8.49,,-1.06,-0.6,10.64,-4.88,70,"water, dioxane",50/50,10%,0.05,
70,21,OB(O)c1cccc(C(F)(F)F)n1,8.49,,-1.06,-0.6,11.22,-5.35,70,"water, dioxane",50/50,10%,0.05,
70,21,OB(O)c1cccc(C(F)(F)F)n1,8.49,,-1.06,-0.6,11.82,-6.18,70,"water, dioxane",50/50,10%,0.05,
70,21,OB(O)c1cccc(C(F)(F)F)n1,8.49,,-1.06,-0.6,12.6,-6.49,70,"water, dioxane",50/50,10%,0.05,
71,22,OB(O)c1c(F)cccc1F,9.15,,-20,,1.01,-7.6,70,"water, dioxane",50/50,,0.05,
71,22,OB(O)c1c(F)cccc1F,9.15,,-20,,2.11,-7.13,70,"water, dioxane",50/50,,0.05,
71,22,OB(O)c1c(F)cccc1F,9.15,,-20,,3.2,-6.5,70,"water, dioxane",50/50,,0.05,
71,22,OB(O)c1c(F)cccc1F,9.15,,-20,,4.16,-5.74,70,"water, dioxane",50/50,,0.05,
71,22,OB(O)c1c(F)cccc1F,9.15,,-20,,5.04,-5.14,70,"water, dioxane",50/50,,0.05,
71,22,OB(O)c1c(F)cccc1F,9.15,,-20,,5.95,-4.22,70,"water, dioxane",50/50,,0.05,
71,22,OB(O)c1c(F)cccc1F,9.15,,-20,,6.48,-3.59,70,"water, dioxane",50/50,,0.05,
71,22,OB(O)c1c(F)cccc1F,9.15,,-20,,7.38,-2.66,70,"water, dioxane",50/50,,0.05,
71,22,OB(O)c1c(F)cccc1F,9.15,,-20,,8.2,-2.02,70,"water, dioxane",50/50,,0.05,
71,22,OB(O)c1c(F)cccc1F,9.15,,-20,,9.61,-1.12,70,"water, dioxane",50/50,,0.05,
71,22,OB(O)c1c(F)cccc1F,9.15,,-20,,11.19,-0.9,70,"water, dioxane",50/50,,0.05,
71,22,OB(O)c1c(F)cccc1F,9.15,,-20,,13.2,-0.89,70,"water, dioxane",50/50,,0.05,
71,22,OB(O)c1c(F)cccc1F,9.15,,-20,,7.38,-2.67,70,"water, dioxane",50/50,,,"Low pH (k_slow, as opposed to saturation conditions, which is k_max)"
71,22,OB(O)c1c(F)cccc1F,9.15,,-20,,13.3,-0.87,70,"water, dioxane",50/50,,,Saturation conditions of KOH (2 equiv); 0.1 equiv of TFA or PPA
